id,glyph,unicode_version,unicode_emoji_version,word_ids,word_texts
1,✌️,1.1,1.0,[],[]
2,✋,6.0,1.0,[663],"[""hand""]"
3,✍,1.1,1.0,[],[]
4,🎓,6.0,1.0,[96],"[""education""]"
5,👂,6.0,1.0,[92],"[""ear""]"
6,🖐,7.0,1.0,[],[]
7,😀,6.1,1.0,[],[]
8,😁,6.0,1.0,[193],"[""happy""]"
9,😑,6.1,1.0,[],[]
10,😒,6.1,1.0,[],[]
11,🤣,9.0,3.0,[],[]
12,🥑,9.0,3.0,"[61,86,623]","[""avocado"",""food"",""green""]"
13,🥔,9.0,3.0,[86],"[""food""]"
14,🥕,9.0,3.0,[86],"[""food""]"
15,🥝,9.0,3.0,[86],"[""food""]"
16,🐐,6.0,1.0,[76],"[""goat""]"
17,👩,6.0,1.0,"[85,105]","[""face"",""mother""]"
18,🐕,6.0,1.0,"[453,98]","[""pet"",""dog""]"
19,🏠,6.0,1.0,[188],"[""house""]"
20,🐖,6.0,1.0,"[398,455]","[""fat"",""pig""]"
21,👨,6.0,1.0,"[390,85]","[""dad"",""face""]"
22,👶,6.0,1.0,"[65,85]","[""baby"",""face""]"
23,👑,6.0,1.0,[173],"[""king""]"
24,🐈,6.0,1.0,"[69,453]","[""cat"",""pet""]"
25,🐄,6.0,1.0,[72],"[""cow""]"
26,🐎,6.0,1.0,[190],"[""horse""]"
27,🦄,8.0,1.0,[190],"[""horse""]"
28,⚽,5.2,1.0,[88],"[""football""]"
29,🐘,6.0,1.0,[91],"[""elephant""]"
30,🐦,6.0,1.0,[67],"[""bird""]"
31,🌸,6.0,1.0,[619],"[""flower""]"
32,🐔,6.0,1.0,[413],"[""hen""]"
33,🍌,6.0,1.0,"[64,621,86]","[""banana"",""fruit"",""food""]"
34,🐝,6.0,1.0,"[160,375]","[""insect"",""bee""]"
35,🥥,10.0,5.0,"[71,86]","[""coconut"",""food""]"
36,🌽,6.0,1.0,"[388,86]","[""corn"",""food""]"
37,🦕,10.0,5.0,[100],"[""dinosaur""]"
38,🦆,9.0,3.0,[97],"[""duck""]"
39,🐟,6.0,1.0,[83],"[""fish""]"
40,🐸,6.0,1.0,[87],"[""frog""]"
41,🦒,10.0,5.0,[158],"[""giraffe""]"
42,🦛,11.0,11.0,[187],"[""hippo""]"
43,🦎,9.0,3.0,[182],"[""lizard""]"
44,🐛,6.0,1.0,[160],"[""insect""]"
45,🐱,6.0,1.0,"[175,69,453]","[""kitten"",""cat"",""pet""]"
46,🌙,6.0,1.0,[439],"[""moon""]"
47,🦉,9.0,3.0,[661],"[""owl""]"
48,🐧,6.0,1.0,[656],"[""penguin""]"
49,🐀,6.0,1.0,[463],"[""rat""]"
50,🕷️,7.0,1.0,[669],"[""spider""]"
51,🦓,10.0,5.0,[492],"[""zebra""]"
54,🌏,6.0,1.0,[704],"[""earth""]"
55,🌍,6.0,1.0,[704],"[""earth""]"
56,🌎,6.0,1.0,[704],"[""earth""]"
57,🐇,6.0,1.0,[705],"[""rabbit""]"
58,🐰,6.0,1.0,[705],"[""rabbit""]"
59,🐜,6.0,1.0,[58],"[""ant""]"
60,🥚,9.0,3.0,"[86,90]","[""food"",""egg""]"
61,😢,6.0,1.0,[470],"[""sad""]"
62,💻,6.0,1.0,[74],"[""computer""]"
63,⭐,5.1,1.0,"[710,707]","[""star"",""stars""]"
64,🌟,6.0,1.0,[707],"[""stars""]"
65,🌠,6.0,1.0,[707],"[""stars""]"
66,🍶,6.0,1.0,"[389,628]","[""cup"",""drink""]"
67,💃,6.0,1.0,"[46,103]","[""red"",""dance""]"
68,💩,6.0,1.0,[659],"[""dirt""]"
69,📡,6.0,1.0,[395],"[""dish""]"
70,🎎,6.0,1.0,[101],"[""doll""]"
71,🚪,6.0,1.0,[99],"[""door""]"
72,👎,6.0,1.0,[28],"[""down""]"
73,🙃,8.0,1.0,[28],"[""down""]"
74,🚰,6.0,1.0,"[626,628]","[""water"",""drink""]"
75,🚐,6.0,1.0,[629],"[""drive""]"
76,🥁,9.0,3.0,[102],"[""drum""]"
77,🦅,9.0,3.0,[95],"[""eagle""]"
78,🏫,6.0,1.0,[96],"[""education""]"
79,🍆,6.0,1.0,"[86,93]","[""food"",""eggplant""]"
80,👀,6.0,1.0,[664],"[""eyes""]"
81,👪,6.0,1.0,[84],"[""family""]"
82,🥓,9.0,3.0,"[398,86]","[""fat"",""food""]"
83,🎅,6.0,1.0,[398],"[""fat""]"
84,👣,6.0,1.0,"[404,399]","[""foot"",""feet""]"
85,☝️,1.1,1.0,[666],"[""finger""]"
86,🦊,9.0,3.0,[406],"[""fox""]"
87,🌹,6.0,1.0,[618],"[""rose""]"
88,🌋,6.0,1.0,[711],"[""volcano""]"
89,🌲,6.0,1.0,[660],"[""tree""]"
90,😂,6.0,1.0,[31],"[""funny""]"
91,🕊️,7.0,1.0,[670],"[""fly""]"
