id,content_type,content_license,attribution_url,title,file_size,checksum_md5,checksum_github,download_url,image_format,dominant_color
1,image/gif,,,dinosaur,2028356,928394348bb4afdc6d115e63c459960b,63d2a6a9e8650fb5ccb0decf3fbb05f4ce6df799,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/928394348bb4afdc6d115e63c459960b.gif,GIF,"212,236,228"
2,image/jpeg,CREATIVE_COMMONS_CC_BY,http://eng.elimu.ai,giraffs,558868,caa676a08895c6e1ce740e78df4d5d9d,333067120b1af3284a0a479dae23d59634bbcc0a,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/caa676a08895c6e1ce740e78df4d5d9d.jpg,JPG,"68,68,68"
3,image/gif,,,sheep,2718261,35390434c4825374bb01c214a6b6bd2e,b8b3e72863c3f8976e055440eec2165fecc767a8,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/35390434c4825374bb01c214a6b6bd2e.gif,GIF,"131,140,121"
4,image/gif,,,balance,4901733,666fbe4cc1271baf986d43c6f60b2327,e68e4a873295de25f22d0258e2f1475e0f2915cb,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/666fbe4cc1271baf986d43c6f60b2327.gif,GIF,"93,70,62"
9,image/jpeg,CREATIVE_COMMONS_CC_BY,https://pixabay.com/en/happy-face-smiley-flashing-v-35164/,happy,105874,db616bd78edc9ed8f9471a810bbf8ccc,111d2be576e5ae439f89133a067e7596bddbce44,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/db616bd78edc9ed8f9471a810bbf8ccc.jpg,JPG,"251,203,4"
10,image/jpeg,CREATIVE_COMMONS_CC_BY,https://pixabay.com/en/girl-playing-football-kid-child-28822/,football,167196,abb97275cc3e024bed70c944521c0780,8e6915bb1f991d7f3199b48e74b13469ffb640cf,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/abb97275cc3e024bed70c944521c0780.jpg,JPG,"4,4,4"
11,image/jpeg,CREATIVE_COMMONS_CC_BY,https://pixabay.com/en/grass-sheep-stand-watch-cartoon-305771/,sheep2,119980,e753c9a79ba1b9a4fe95ca3f489cbfff,d73ece6577a27bbd7aa2d77d089be56a595e609e,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/e753c9a79ba1b9a4fe95ca3f489cbfff.jpg,JPG,"4,140,44"
12,image/png,BSD_2_CLAUSE,https://github.com/Norad-Eduapp4syria/Norad-Eduapp4syria,fish,149192,e90f90fb8b1e93da76a8c443c8dc65bc,52ddaec3fcfa44a430c6df42477e4c7cd68fed4a,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/e90f90fb8b1e93da76a8c443c8dc65bc.png,PNG,"46,68,126"
13,image/jpeg,CREATIVE_COMMONS_CC_BY,https://pixabay.com/en/head-hammer-tool-carpentry-wood-308068/,hammer,83464,3906d1518983ad6ddc0f9b8f4a832a4f,c2ae6578372c936546b4a2dc39a1e18c09b6cd9a,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/3906d1518983ad6ddc0f9b8f4a832a4f.jpg,JPG,"113,104,84"
14,image/png,CREATIVE_COMMONS_CC_BY_SA,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Fedora_hat.svg/2000px-Fedora_hat.svg.png,hat,143490,02c168c5dc99857d03417c7d06d182f0,171bc2d8ad121bf5fbc8b0d8dbe220cf92347eaa,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/02c168c5dc99857d03417c7d06d182f0.png,PNG,"195,163,131"
15,image/jpeg,CREATIVE_COMMONS_CC_BY_SA,https://hif.wikipedia.org/wiki/file:Fiji_Crested_Iguana444.jpg,iguana,821240,61058144412ecd2540cfea4a21109345,d5462f3643e6f3b32184a9a4c147bab2c6aafb02,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/61058144412ecd2540cfea4a21109345.jpg,JPG,"71,82,43"
16,image/jpeg,CREATIVE_COMMONS_CC_BY_SA,https://cdn.pixabay.com/photo/2014/12/21/23/50/jar-576168_960_720.png,jar,244684,e85aa6265df3723d8f835fac1607c8e2,6d316462f02a3deb463f221e3f3c3bc4040bc8e5,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/e85aa6265df3723d8f835fac1607c8e2.jpg,JPG,"87,67,40"
17,image/png,CREATIVE_COMMONS_CC_BY_SA,https://pixabay.com/en/ice-cream-cone-mint-chocolate-chip-308972/,ice cream,37558,9765d2ef3d9dd2cafc3e399a5486a935,fa7d24942e3d47685d490b4653ec9b111ebc03eb,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/9765d2ef3d9dd2cafc3e399a5486a935.png,PNG,"172,251,211"
18,image/jpeg,CREATIVE_COMMONS_CC_BY,https://pixabay.com/en/key-lock-open-admin-security-148813/,key,103108,879b7ca85b7efb202d96873c885cf456,afb8de5ceb1aad647dd0410474ca14db0e882de1,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/879b7ca85b7efb202d96873c885cf456.jpg,JPG,"224,222,157"
19,image/jpeg,CREATIVE_COMMONS_CC_BY,https://commons.wikimedia.org/wiki/File:Kitten_stuck_on_top_of_a_tree_trunk.jpg,kitten ,801972,939c2b83f203f61aa242d3a066563f79,bcfe2d784d9213664153ec7c5a6fe37bff6c61ad,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/939c2b83f203f61aa242d3a066563f79.jpg,JPG,"52,52,52"
20,image/png,CREATIVE_COMMONS_CC_BY,https://pixabay.com/en/bed-hospital-medical-health-311372/,bed,135752,e32c966e6306e563ff2b43fdf2b07c58,5cf3294bbeadbb8d6e3a11f4f13e1328ec4f5c5d,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/e32c966e6306e563ff2b43fdf2b07c58.png,PNG,"5,5,4"
21,image/jpeg,CREATIVE_COMMONS_CC_BY_SA,https://pixabay.com/en/house-architecture-design-field-163526/,house,297038,5c94a3b82ff79f2ec67f7e1112398f9d,6b096811ec188b26b065c501fa7c96042a762179,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/5c94a3b82ff79f2ec67f7e1112398f9d.jpg,JPG,"112,182,14"
22,image/jpeg,CREATIVE_COMMONS_CC_BY_SA,https://commons.wikimedia.org/wiki/Commons:Photo_challenge/2014_-_September-October_-_Big_and_small#/media/File:Big_%26_Small_Pumkins.JPG,big,614599,cba36db05c061d85c9f3e0ba1c0e95a3,bd43b907843f7b823c05fa8093fe63c3ed8380a7,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/cba36db05c061d85c9f3e0ba1c0e95a3.jpg,JPG,"135,168,215"
23,image/jpeg,CREATIVE_COMMONS_CC_BY_SA,https://pixabay.com/en/cow-bell-horns-nasty-spots-48431/,cow,188150,64818340303daabfff01717116c7f440,39777a9f4ee4b74683e44d7b7fed2ca4db11e045,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/64818340303daabfff01717116c7f440.jpg,JPG,"4,4,4"
24,image/png,CREATIVE_COMMONS_CC_BY_SA,https://pixabay.com/en/car-subaru-rex-vehicle-150988/,car,159661,086ecedc33e374725ba0d0a098fc11bd,fb9c7d4758214fe647d42745ae5dd8454cf25e43,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/086ecedc33e374725ba0d0a098fc11bd.png,PNG,"135,141,141"
25,image/jpeg,CREATIVE_COMMONS_CC_BY_SA,https://pixabay.com/en/lemon-lime-citron-sour-fruit-150000/,lemon,85305,956e54f178cd017bba67be9ed9b3e52c,73fe7da4d764e3b1be0d6edf5949f6e7c5da0e7b,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/956e54f178cd017bba67be9ed9b3e52c.jpg,JPG,"239,216,4"
26,image/jpeg,CREATIVE_COMMONS_CC_BY_SA,https://commons.wikimedia.org/wiki/File:Music_01754.jpg,music,142446,6bdac05b57bcf252554acaff9a4c1d82,163724af3431dd59d59fe09d9ad17beadfe08b50,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/6bdac05b57bcf252554acaff9a4c1d82.jpg,JPG,"4,5,5"
27,image/jpeg,CREATIVE_COMMONS_CC_BY_SA,https://commons.wikimedia.org/wiki/File:Door.png,door,681234,fd3b80851aeb7568da62dc9038fa4b99,c047ae193b4c0d2166bf2289fd99109ad97fca15,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/fd3b80851aeb7568da62dc9038fa4b99.jpg,JPG,"14,14,13"
28,image/jpeg,CREATIVE_COMMONS_CC_BY_SA,https://pixabay.com/en/jug-ears-elephant-dumbo-ears-grey-304819/,ear,72801,8adfc32991727b45d593a0b57d775707,936a7e1ccd6dff8b7a2919de81ffcaf5054ebb63,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/8adfc32991727b45d593a0b57d775707.jpg,JPG,"188,188,188"
29,image/jpeg,CREATIVE_COMMONS_CC_BY_SA,https://pixabay.com/en/owl-weird-bird-nocturnal-pupil-155504/,owl,73554,f751122cd65717f920b1991208ac219e,a236969c709393909b5832b3c0935d83dea68c33,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/f751122cd65717f920b1991208ac219e.jpg,JPG,"5,5,4"
30,image/jpeg,CREATIVE_COMMONS_CC_BY_SA,https://pixabay.com/en/bananas-sleep-couple-1715372/,banana,112173,1031f85b1646c1d45f3d3fcdd5c5fe97,2f941163ed5a1d8fe2411a0cfada012de9ccc513,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-ENG/images/1031f85b1646c1d45f3d3fcdd5c5fe97.jpg,JPG,"233,214,64"
