id,letter_ids,letter_texts,sound_ids,sound_values_ipa,usage_count
1,[18],"[""r""]",[38],"[""r""]",95
2,[1],"[""a""]",[5],"[""æ""]",158
3,[2],"[""b""]",[20],"[""b""]",71
4,[9],"[""i""]",[10],"[""ə""]",20
5,[20],"[""t""]",[18],"[""t""]",267
6,"[20,8]","[""t"",""h""]",[27],"[""θ""]",2875
7,[5],"[""e""]",[7],"[""ɛ""]",35
8,[9],"[""i""]",[8],"[""ɪ""]",243
9,[5],"[""e""]",[4],"[""iː""]",114
10,[8],"[""h""]",[33],"[""h""]",83
11,[23],"[""w""]",[39],"[""w""]",79
12,[14],"[""n""]",[36],"[""n""]",154
14,[22],"[""v""]",[26],"[""v""]",11
15,[5],"[""e""]",[85],"[""∅""]",10
16,[13],"[""m""]",[35],"[""m""]",53
17,[19],"[""s""]",[29],"[""s""]",68
18,[7],"[""g""]",[22],"[""g""]",19
19,"[15,1]","[""o"",""a""]","[86,9]","[""o"",""ʊ""]",0
20,"[15,15]","[""o"",""o""]",[3],"[""u""]",0
21,[4],"[""d""]",[21],"[""d""]",138
22,[15],"[""o""]",[2],"[""ɔ""]",21
23,[15],"[""o""]","[86,9]","[""o"",""ʊ""]",14
24,[21],"[""u""]",[6],"[""ʌ""]",44
25,"[5,5]","[""e"",""e""]",[4],"[""iː""]",0
26,[5],"[""e""]",[10],"[""ə""]",244
27,[15],"[""o""]",[3],"[""u""]",140
28,[1],"[""a""]",[10],"[""ə""]",81
29,[19],"[""s""]",[30],"[""z""]",102
30,"[20,20]","[""t"",""t""]",[18],"[""t""]",28
31,[12],"[""l""]",[34],"[""l""]",63
32,"[12,5]","[""l"",""e""]","[10,34]","[""ə"",""l""]",28
33,[6],"[""f""]",[25],"[""f""]",65
34,[25],"[""y""]","[1,8]","[""ɑ"",""ɪ""]",22
35,[11],"[""k""]",[19],"[""k""]",3
37,"[14,7]","[""n"",""g""]",[37],"[""ŋ""]",0
38,[1],"[""a""]",[6],"[""ʌ""]",27
39,[15],"[""o""]",[6],"[""ʌ""]",16
40,[15],"[""o""]","[39,6]","[""w"",""ʌ""]",17
41,"[14,5]","[""n"",""e""]",[36],"[""n""]",17
42,[16],"[""p""]",[17],"[""p""]",18
43,[25],"[""y""]",[40],"[""j""]",30
44,"[15,21]","[""o"",""u""]",[3],"[""u""]",30
45,[1],"[""a""]",[1],"[""ɑ""]",33
46,"[18,5]","[""r"",""e""]",[38],"[""r""]",22
47,[3],"[""c""]",[19],"[""k""]",22
48,[1],"[""a""]",[87],"[""ɔː""]",21
49,"[12,12]","[""l"",""l""]",[34],"[""l""]",21
50,"[16,16]","[""p"",""p""]",[17],"[""p""]",0
51,[1],"[""a""]","[7,8]","[""ɛ"",""ɪ""]",4
52,"[20,5]","[""t"",""e""]",[18],"[""t""]",0
53,[15],"[""o""]",[10],"[""ə""]",1
54,[25],"[""y""]",[4],"[""iː""]",0
55,[5],"[""e""]",[88],"[""ɛː""]",4
56,"[3,11]","[""c"",""k""]",[19],"[""k""]",0
57,"[21,5]","[""u"",""e""]",[3],"[""u""]",6
58,"[15,15]","[""o"",""o""]",[9],"[""ʊ""]",3
59,[15],"[""o""]",[1],"[""ɑ""]",0
60,[24],"[""x""]","[19,29]","[""k"",""s""]",0
61,[25],"[""y""]",[8],"[""ɪ""]",37
62,"[9,1]","[""i"",""a""]",[40],"[""j""]",0
63,"[20,8]","[""t"",""h""]",[28],"[""ð""]",28
64,"[15,23]","[""o"",""w""]","[1,9]","[""ɑ"",""ʊ""]",9
65,"[13,5]","[""m"",""e""]",[35],"[""m""]",5
66,[1],"[""a""]",[89],"[""æː""]",0
67,[1],"[""a""]",[90],"[""ɑː""]",18
68,"[3,8]","[""c"",""h""]","[18,31]","[""t"",""ʃ""]",0
69,[9],"[""i""]",[91],"[""ɜː""]",0
70,[3],"[""c""]",[29],"[""s""]",0
71,"[6,6]","[""f"",""f""]",[25],"[""f""]",0
72,"[15,21]","[""o"",""u""]","[92,9]","[""a"",""ʊ""]",0
73,[21],"[""u""]","[40,93]","[""j"",""uː""]",0
74,[26],"[""z""]",[30],"[""z""]",0
75,[5],"[""e""]",[8],"[""ɪ""]",0
76,"[15,15]","[""o"",""o""]",[93],"[""uː""]",13
77,"[20,23]","[""t"",""w""]",[18],"[""t""]",0
78,"[5,5]","[""e"",""e""]",[94],"[""i""]",0
79,"[15,21]","[""o"",""u""]",[2],"[""ɔ""]",0
80,[9],"[""i""]","[92,8]","[""a"",""ɪ""]",7
81,"[22,5]","[""v"",""e""]",[26],"[""v""]",3
82,[19],"[""s""]","[78,29]","[""ˈ"",""s""]",1
83,"[7,8,20]","[""g"",""h"",""t""]",[18],"[""t""]",0
84,[12],"[""l""]","[78,34]","[""ˈ"",""l""]",0
85,[9],"[""i""]",[84],"[""ɜ""]",0
86,[25],"[""y""]",[94],"[""i""]",2
87,[9],"[""i""]",[94],"[""i""]",0
88,"[3,5]","[""c"",""e""]",[29],"[""s""]",0
89,[1],"[""a""]",[95],"[""e""]",15
90,"[9,5]","[""i"",""e""]","[1,8]","[""ɑ"",""ɪ""]",0
91,"[1,21]","[""a"",""u""]",[2],"[""ɔ""]",0
92,"[19,8]","[""s"",""h""]",[31],"[""ʃ""]",43
93,"[15,15]","[""o"",""o""]",[2],"[""ɔ""]",0
94,"[14,11]","[""n"",""k""]","[37,19]","[""ŋ"",""k""]",0
95,"[5,1]","[""e"",""a""]",[4],"[""iː""]",3
96,"[5,1]","[""e"",""a""]",[84],"[""ɜ""]",5
97,[4],"[""d""]",[24],"[""dʒ""]",1
98,[21],"[""u""]",[9],"[""ʊ""]",1
99,"[20,9]","[""t"",""i""]",[31],"[""ʃ""]",1
100,"[7,7]","[""g"",""g""]",[22],"[""g""]",0
101,"[16,8]","[""p"",""h""]",[25],"[""f""]",5
102,[5],"[""e""]",[1],"[""ɑ""]",1
103,"[25,5]","[""y"",""e""]",[8],"[""ɪ""]",1
104,"[14,7]","[""n"",""g""]","[37,22]","[""ŋ"",""g""]",0
