id,text,diacritic,usage_count
1,a,False,1125
2,b,False,152
3,c,False,253
4,d,False,454
5,e,False,1644
6,f,False,234
7,g,False,304
8,h,False,894
9,i,False,821
10,j,False,16
11,k,False,138
12,l,False,620
13,m,False,325
14,n,False,784
15,o,False,996
16,p,False,185
17,q,False,3
18,r,False,824
19,s,False,887
20,t,False,1269
21,u,False,324
22,v,False,115
23,w,False,299
24,x,False,16
25,y,False,317
26,z,False,7
78,E,False,30
79,A,False,42
80,T,False,90
81,B,False,55
82,C,False,22
83,D,False,8
84,F,False,11
85,G,False,6
86,H,False,37
87,I,False,54
88,J,False,4
89,K,False,4
90,L,False,40
91,M,False,27
92,N,False,6
93,O,False,15
94,P,False,11
95,Q,False,0
96,R,False,26
97,S,False,64
98,U,False,8
99,V,False,1
100,W,False,44
101,X,False,0
102,Y,False,10
103,Z,False,0
128,ä,True,0
129,ö,True,0
130,ü,True,0
