id,value_ipa,value_sampa,diacritic,sound_type,usage_count
1,ɑ,A,False,VOWEL,65
2,ɔ,O,False,VOWEL,21
3,u,u,False,VOWEL,176
4,iː,i:,False,VOWEL,117
5,æ,{,False,VOWEL,158
6,ʌ,V,False,VOWEL,104
7,ɛ,E,False,VOWEL,39
8,ɪ,I,False,VOWEL,314
9,ʊ,U,False,VOWEL,27
10,ə,@,False,VOWEL,374
11,r̩,r_=,False,CONSONANT,0
12,aʊ,aU,False,VOWEL,0
13,ɔɪ,OI,False,VOWEL,0
14,əʊ,@U,False,VOWEL,0
15,ɛɪ,EI,False,VOWEL,0
16,ɑɪ,AI,False,VOWEL,0
17,p,p,False,CONSONANT,18
18,t,t,False,CONSONANT,295
19,k,k,False,CONSONANT,25
20,b,b,False,CONSONANT,71
21,d,d,False,CONSONANT,138
22,g,g,False,CONSONANT,19
23,tʃ,tS,False,CONSONANT,0
24,dʒ,dZ,False,CONSONANT,1
25,f,f,False,CONSONANT,70
26,v,v,False,CONSONANT,14
27,θ,T,False,CONSONANT,2875
28,ð,D,False,CONSONANT,28
29,s,s,False,CONSONANT,69
30,z,z,False,CONSONANT,102
31,ʃ,S,False,CONSONANT,44
32,ʒ,Z,False,CONSONANT,0
33,h,h,False,CONSONANT,83
34,l,l,False,CONSONANT,112
35,m,m,False,CONSONANT,58
36,n,n,False,CONSONANT,171
37,ŋ,N,False,CONSONANT,0
38,r,r,False,CONSONANT,117
39,w,w,False,CONSONANT,96
40,j,j,False,CONSONANT,30
78,ˈ,"""",False,,1
79,ˌ,%,False,,0
81,ɝ,@`,False,,0
82,.,.,False,,0
84,ɜ,3,False,VOWEL,5
85,∅,*,False,,10
86,o,o,False,VOWEL,14
87,ɔː,O:,False,VOWEL,21
88,ɛː,E:,False,VOWEL,4
89,æː,{:,False,VOWEL,0
90,ɑː,A:,False,VOWEL,18
91,ɜː,3:,False,VOWEL,0
92,a,a,False,VOWEL,7
93,uː,u:,False,VOWEL,14
94,i,i,False,VOWEL,2
95,e,e,False,VOWEL,15
96,ɒ,Q,False,VOWEL,0
