id,glyph,unicode_version,unicode_emoji_version,word_ids,word_texts
1,👵,6.0,1.0,[7],"[""दादी""]"
2,👦,6.0,1.0,"[89,28]","[""बेटा"",""बाल""]"
3,👧,6.0,1.0,"[293,28,58]","[""दीदी"",""बाल"",""बहन""]"
4,👑,6.0,1.0,[36],"[""राजा""]"
5,🤴,9.0,3.0,[36],"[""राजा""]"
6,🌏,6.0,1.0,[],[]
7,🌍,6.0,1.0,[],[]
8,🌎,6.0,1.0,[],[]
9,🐘,6.0,1.0,[47],"[""हाथी""]"
10,🐝,6.0,1.0,[48],"[""मधुमक्खी""]"
11,🌊,6.0,1.0,"[49,125]","[""पनि"",""पानी""]"
12,🚰,6.0,1.0,"[49,125]","[""पनि"",""पानी""]"
13,💧,6.0,1.0,"[49,125]","[""पनि"",""पानी""]"
14,💦,6.0,1.0,"[103,49,125]","[""वर्षा"",""पनि"",""पानी""]"
15,🌧️,7.0,1.0,"[104,103,49,125]","[""बारिश"",""वर्षा"",""पनि"",""पानी""]"
16,🌃,6.0,1.0,"[51,108]","[""रात"",""तारा""]"
17,🌙,6.0,1.0,[],[]
18,🐕,6.0,1.0,"[308,65]","[""कुत्ते"",""कुत्ता""]"
19,🐶,6.0,1.0,"[308,65]","[""कुत्ते"",""कुत्ता""]"
20,🐩,6.0,1.0,"[308,65]","[""कुत्ते"",""कुत्ता""]"
21,🤝,9.0,3.0,[71],"[""मानता""]"
22,🐟,6.0,1.0,[76],"[""मछलियाँ""]"
23,🐠,6.0,1.0,[76],"[""मछलियाँ""]"
24,🐡,6.0,1.0,[76],"[""मछलियाँ""]"
25,🦈,9.0,3.0,[76],"[""मछलियाँ""]"
26,🏠,6.0,1.0,"[79,77]","[""घर"",""मकान""]"
27,❄️,1.1,1.0,[80],"[""इग्लू""]"
28,🥞,9.0,3.0,[81],"[""पूरी""]"
29,✋,6.0,1.0,[86],"[""रुकना""]"
30,🛑,9.0,3.0,[86],"[""रुकना""]"
31,👗,6.0,1.0,[93],"[""कपड़े""]"
32,💃,6.0,1.0,[93],"[""कपड़े""]"
33,👩,6.0,1.0,"[94,178,107,166]","[""मम्मी"",""पच्चा"",""माँ"",""अम्मा""]"
34,👨,6.0,1.0,"[269,295]","[""पापा"",""बाबा""]"
35,👴,6.0,1.0,[],[]
36,😬,6.1,1.0,[],[]
37,🌟,6.0,1.0,[108],"[""तारा""]"
38,⭐,5.1,1.0,[108],"[""तारा""]"
39,🌠,6.0,1.0,[108],"[""तारा""]"
40,💫,6.0,1.0,[108],"[""तारा""]"
