id,text,diacritic,usage_count
1,न,False,7778
2,क,False,11160
3,ह,False,8700
4,म,False,6105
5,ल,False,5461
6,स,False,6483
7,त,False,5959
8,अ,False,1406
9,प,False,4195
10,र,False,9416
11,ज,False,2543
12,ब,False,4082
13,य,False,3096
14,ा,True,15788
15,े,True,12822
16,ी,True,8680
17,द,False,3235
18,भ,False,1345
19,थ,False,1410
20,ए,False,1329
21,ो,True,5043
22,ै,True,2858
23,ु,True,3467
24,ि,True,4591
25,औ,False,990
26,ख,False,1588
27,च,False,2292
28,छ,False,1003
29,व,False,2098
30,ग,False,2891
31,ँ,True,1806
32,आ,False,1231
33,ठ,False,372
34,ं,True,5648
35,ौ,True,358
36,ड़,False,1104
37,ट,False,1687
38,उ,False,1401
39,ई,False,763
40,ऊ,False,261
41,ओ,False,251
42,घ,False,411
43,ध,False,650
44,्,True,4558
45,ू,True,2135
46,ड,False,533
47,ज़,False,677
48,ग़,False,30
49,झ,False,435
50,इ,False,678
51,श,False,872
52,फ़,False,209
53,ढ,False,155
54,ष,False,211
55,फ,False,547
56,ण,False,81
57, ़,True,0
