id,value_ipa,value_sampa,diacritic,sound_type,usage_count
1,n,n,False,CONSONANT,93516
2,k,k,False,CONSONANT,141149
3,ɦ,h\,False,CONSONANT,136422
4,m,m,False,CONSONANT,44615
5,l,l,False,CONSONANT,38038
6,s,s,False,CONSONANT,101480
7,t,t,False,CONSONANT,105422
8,ə,@,False,VOWEL,67628
9,p,p,False,CONSONANT,17832
10,ɾ,4,False,CONSONANT,115144
11,z,z,False,CONSONANT,304
12,b,b,False,CONSONANT,27521
13,j,j,False,CONSONANT,11422
14,aː,a:,False,VOWEL,528055
15,eː,e:,False,VOWEL,327227
16,iː,i:,False,VOWEL,188249
17,d,d,False,CONSONANT,14214
18,bʱ,b_h\,False,CONSONANT,4564
19,tʰ,t_h,False,CONSONANT,3720
20,oː,o:,False,VOWEL,46912
21,ɛː,E:,False,VOWEL,19968
22,ʊ,U,False,VOWEL,15569
23,ɪ,I,False,VOWEL,38525
24,ɔː,O:,False,VOWEL,784
25,x,x,False,CONSONANT,0
26,kʰ,k_h,False,CONSONANT,2758
27,ʃ,S,False,CONSONANT,5194
28,ʃʰ,S_h,False,CONSONANT,1598
29,ʋ,v\,False,CONSONANT,7222
30,g,g,False,CONSONANT,8716
31,dʒ,dZ,False,CONSONANT,14041
32,◌̃,~,False,,54042
33,ʈʰ,t`_h,False,CONSONANT,731
34,ɽ,r`,False,CONSONANT,2055
35,ʈ,t`,False,CONSONANT,2165
36,uː,u:,False,VOWEL,8350
37,ɡʱ,g_h\,False,CONSONANT,168
38,dʱ,d_h\,False,CONSONANT,292
39,∅,*,False,,4242
40,ɖ,d`,False,CONSONANT,60
41,ɣ,G,False,CONSONANT,0
42,ʒ,Z,False,CONSONANT,0
43,f,f,False,CONSONANT,0
44,ɖʱ,d`_h\,False,CONSONANT,0
45,ʂ,s`,False,CONSONANT,96
46,pʰ,p_h,False,CONSONANT,85
47,ɳ,n`,False,CONSONANT,1
48,lə,l`,False,CONSONANT,0
49,zə,z`,False,CONSONANT,48
