id,letter_ids,letter_texts,sound_ids,sound_values_ipa,usage_count
1,[1],"[""a""]",[1],"[""ɑ""]",22193
2,[18],"[""A""]",[1],"[""ɑ""]",0
3,[11],"[""y""]",[10],"[""j""]",1702
4,[15],"[""b""]",[20],"[""b""]",1039
5,[2],"[""n""]",[5],"[""n""]",4028
6,[5],"[""s""]",[2],"[""s""]",3058
7,[6],"[""t""]",[7],"[""t""]",2103
8,[3],"[""i""]",[4],"[""iː""]",2038
9,[7],"[""o""]",[6],"[""ɔ""]",1948
10,[12],"[""p""]",[9],"[""p""]",1114
11,[10],"[""u""]",[11],"[""u""]",864
12,[14],"[""r""]",[12],"[""r""]",682
13,[16],"[""h""]",[19],"[""h""]",548
14,[3],"[""i""]",[14],"[""ɪ""]",2413
15,[17],"[""d""]",[17],"[""d""]",632
16,[8],"[""l""]",[13],"[""l""]",1316
17,[9],"[""k""]",[15],"[""k""]",1799
18,[13],"[""m""]",[16],"[""m""]",1166
19,[20],"[""w""]",[23],"[""w""]",339
20,[4],"[""g""]",[22],"[""g""]",600
21,[19],"[""e""]",[21],"[""ɛ""]",183
22,[19],"[""e""]",[38],"[""ə""]",75
23,"[2,4]","[""n"",""g""]",[3],"[""ŋ""]",3681
24,"[5,3,11]","[""s"",""i"",""y""]",[24],"[""ʃ""]",248
25,"[5,11]","[""s"",""y""]",[24],"[""ʃ""]",2
26,"[6,5]","[""t"",""s""]",[33],"[""tʃ""]",12
27,[1],"[""a""]",[236],"[""ɑː""]",1748
29,"[2,4]","[""n"",""g""]","[5,1,3]","[""n"",""ɑ"",""ŋ""]",1157
30,"[13,4]","[""m"",""g""]","[16,1,3]","[""m"",""ɑ"",""ŋ""]",597
31,[7],"[""o""]",[237],"[""ɔː""]",225
32,"[2,11]","[""n"",""y""]",[41],"[""ɲ""]",176
33,[10],"[""u""]",[238],"[""uː""]",346
34,[19],"[""e""]",[239],"[""ɛː""]",33
