id,text,diacritic,usage_count
1,a,False,13366
2,n,False,7437
3,i,False,5256
4,g,False,4956
5,s,False,2576
6,t,False,2582
7,o,False,2502
8,l,False,2214
9,k,False,2230
10,u,False,2152
11,y,False,1713
12,p,False,1440
13,m,False,2014
14,r,False,1010
15,b,False,1276
16,h,False,811
17,d,False,842
18,A,False,363
19,e,False,662
20,w,False,567
21,P,False,178
22,N,False,344
23,S,False,268
24,H,False,163
25,U,False,62
26,K,False,144
27,O,False,52
28,I,False,134
29,M,False,209
30,T,False,175
31,W,False,62
32,B,False,94
33,E,False,33
34,c,False,46
35,j,False,11
36,F,False,7
37,G,False,101
38,L,False,58
39,C,False,21
40,D,False,47
41,f,False,7
42,R,False,62
43,v,False,32
44,J,False,13
45,Q,False,0
46,V,False,2
47,X,False,0
48,Y,False,9
49,Z,False,18
50,q,False,0
51,x,False,1
52,z,False,1
53,Ñ,False,0
54,ñ,False,0
