id,value_ipa,value_sampa,diacritic,sound_type,usage_count
1,ɑ,A,False,VOWEL,2052087
2,s,s,False,CONSONANT,110476
3,ŋ,N,False,CONSONANT,116595
4,iː,i,False,VOWEL,54780
5,n,n,False,CONSONANT,253855
6,ɔ,O,False,VOWEL,77034
7,t,t,False,CONSONANT,104860
8,ː,:,False,,0
9,p,p,False,CONSONANT,38793
10,j,j,False,CONSONANT,26848
11,u,u,False,VOWEL,39072
12,r,r,False,CONSONANT,12771
13,l,l,False,CONSONANT,75684
14,ɪ,I,False,VOWEL,145360
15,k,k,False,CONSONANT,71060
16,m,m,False,CONSONANT,51092
17,d,d,False,CONSONANT,10416
18,ˈ,,False,,0
19,h,h,False,CONSONANT,9339
20,b,b,False,CONSONANT,39639
21,ɛ,E,False,VOWEL,1888
22,g,g,False,CONSONANT,14994
23,w,w,False,CONSONANT,5668
24,ʃ,S,False,CONSONANT,518
25,ɑɪ,AI,False,VOWEL,0
26,z,z,False,CONSONANT,0
27,.,.,False,,0
28,r̩,r_=,False,CONSONANT,0
29,ʔ,?,False,VOWEL,0
30,aʊ,aU,False,VOWEL,0
31,dʒ,dZ,False,CONSONANT,0
32,f,f,False,CONSONANT,0
33,tʃ,tS,False,CONSONANT,24
34,v,v,False,CONSONANT,0
35,æ,{,False,VOWEL,0
36,ð,D,False,CONSONANT,0
37,ɔɪ,OI,False,VOWEL,0
38,ə,@,False,VOWEL,300
39,əʊ,@U,False,VOWEL,0
40,ɛɪ,EI,False,VOWEL,0
41,ɲ,J,False,CONSONANT,41
42,ɾ,4,False,CONSONANT,0
43,ʊ,U,False,VOWEL,0
44,ʌ,V,False,VOWEL,0
45,ʒ,Z,False,CONSONANT,0
46,ˌ,%,False,,0
47,θ,T,False,CONSONANT,0
236,ɑː,A:,False,VOWEL,53640
237,ɔː,O:,False,VOWEL,1692
238,uː,u:,False,VOWEL,1727
239,ɛː,E:,False,VOWEL,84
