id,glyph,unicode_version,unicode_emoji_version,word_ids,word_texts
1,🐸,6.0,1.0,"[3,131]","[""กบ"",""กระโดด""]"
2,🗡️,7.0,1.0,[4],"[""มีด""]"
3,🖊️,7.0,1.0,[5],"[""ปากกา""]"
4,🍬,6.0,1.0,[8],"[""หวาน""]"
5,🐒,6.0,1.0,[10],"[""ลิง""]"
6,🍽️,7.0,1.0,"[114,11,71]","[""ทาน"",""จาน"",""กิน""]"
7,🐃,6.0,1.0,[12],"[""ควาย""]"
8,🐟,6.0,1.0,[13],"[""ปลา""]"
9,🎖️,7.0,1.0,[14],"[""ทหาร""]"
10,🔫,6.0,1.0,[14],"[""ทหาร""]"
11,🚩,6.0,1.0,[15],"[""ธง""]"
12,🍯,6.0,1.0,[8],"[""หวาน""]"
13,👶,6.0,1.0,"[68,18]","[""ลูก"",""น่ารัก""]"
14,✝️,1.1,1.0,[20],"[""ศาสนา""]"
15,🕌,8.0,1.0,[20],"[""ศาสนา""]"
16,🤧,9.0,3.0,[21],"[""จาม""]"
17,⭐,5.1,1.0,"[157,23]","[""ดวง"",""ดาว""]"
18,🥚,9.0,3.0,[24],"[""ไข่""]"
19,🍳,6.0,1.0,"[24,85]","[""ไข่"",""ครัว""]"
20,🦀,8.0,1.0,[26],"[""ปู""]"
21,🌿,6.0,1.0,[27],"[""ยา""]"
22,💤,6.0,1.0,"[29,73]","[""นอน"",""พัก""]"
23,😴,6.1,1.0,[29],"[""นอน""]"
24,🛏️,7.0,1.0,[29],"[""นอน""]"
25,🚶,6.0,1.0,"[99,30]","[""เดิน"",""ไป""]"
26,⌚,1.1,1.0,"[32,124]","[""นาที"",""เวลา""]"
27,👀,6.0,1.0,[44],"[""ตา""]"
28,😁,6.0,1.0,"[39,104]","[""ฟัน"",""สุข""]"
29,🌟,6.0,1.0,[23],"[""ดาว""]"
30,🐅,6.0,1.0,[],[]
31,🐍,6.0,1.0,[41],"[""งู""]"
32,👓,6.0,1.0,"[141,7]","[""มอง"",""ดู""]"
33,👩,6.0,1.0,[45],"[""ผม""]"
34,👂,6.0,1.0,[46],"[""หู""]"
35,🌧️,7.0,1.0,[47],"[""ฝน""]"
36,⛈️,5.2,1.0,[47],"[""ฝน""]"
37,💭,6.0,1.0,[28],"[""คิด""]"
38,🎶,6.0,1.0,"[107,49]","[""เสียง"",""เพลง""]"
39,🎵,6.0,1.0,"[107,49]","[""เสียง"",""เพลง""]"
40,☁️,1.1,1.0,[50],"[""เมฆ""]"
41,🐕,6.0,1.0,[54],"[""หมา""]"
42,🌲,6.0,1.0,[17],"[""สูง""]"
43,⛰️,5.2,1.0,[17],"[""สูง""]"
44,♂️,1.1,4.0,[55],"[""ชาย""]"
45,👨,6.0,1.0,[55],"[""ชาย""]"
46,🚹,6.0,1.0,[55],"[""ชาย""]"
47,👧,6.0,1.0,[56],"[""สาว""]"
48,♀️,1.1,4.0,[56],"[""สาว""]"
49,📖,6.0,1.0,[155],"[""หนังสือ""]"
50,🚲,6.0,1.0,[58],"[""จักรยาน""]"
51,🚴,6.0,1.0,[58],"[""จักรยาน""]"
52,📅,6.0,1.0,[59],"[""วัน""]"
53,🐿️,7.0,1.0,[60],"[""กระรอก""]"
54,🐦,6.0,1.0,[63],"[""นก""]"
55,🛣️,7.0,1.0,[64],"[""ทาง""]"
56,🗿,6.0,1.0,[65],"[""หิน""]"
57,🧗,10.0,5.0,[65],"[""หิน""]"
58,🗼,6.0,1.0,[17],"[""สูง""]"
59,🐻,6.0,1.0,[67],"[""หมี""]"
60,👉,6.0,1.0,[69],"[""ขวา""]"
61,➡️,1.1,1.0,[69],"[""ขวา""]"
62,🥄,9.0,3.0,[71],"[""กิน""]"
63,🍴,6.0,1.0,[71],"[""กิน""]"
64,🥣,10.0,5.0,[71],"[""กิน""]"
65,🐖,6.0,1.0,[81],"[""หมู""]"
66,🐇,6.0,1.0,[131],"[""กระโดด""]"
67,🐘,6.0,1.0,[],[]
68,🔪,6.0,1.0,[85],"[""ครัว""]"
69,⏲️,6.0,1.0,"[85,124]","[""ครัว"",""เวลา""]"
70,🍲,6.0,1.0,[85],"[""ครัว""]"
71,👍,6.0,1.0,[87],"[""ชอบ""]"
72,⚡,4.0,1.0,[95],"[""กำลัง""]"
73,🥁,9.0,3.0,[103],"[""กลอง""]"
74,🔊,6.0,1.0,[107],"[""เสียง""]"
75,🏡,6.0,1.0,[109],"[""สวน""]"
76,🌻,6.0,1.0,[],[]
77,🗣️,7.0,1.0,[111],"[""พูด""]"
78,😋,6.0,1.0,[114],"[""ทาน""]"
79,🏫,6.0,1.0,"[146,115,116,145]","[""ครู"",""เรียน"",""สอน"",""โรงเรียน""]"
80,🌆,6.0,1.0,[119],"[""เมือง""]"
81,🏙️,7.0,1.0,[119],"[""เมือง""]"
82,💸,6.0,1.0,[9],"[""แพง""]"
83,💎,6.0,1.0,"[9,143]","[""แพง"",""แวววาว""]"
84,🏥,6.0,1.0,[120],"[""พยาบาล""]"
85,🐄,6.0,1.0,[133],"[""วัว""]"
86,🐐,6.0,1.0,[134],"[""แพะ""]"
87,🦋,9.0,3.0,"[137,135]","[""งาม"",""สวย""]"
88,🌇,6.0,1.0,[135],"[""สวย""]"
89,💃,6.0,1.0,[137],"[""งาม""]"
90,🐁,6.0,1.0,[139],"[""หนู""]"
91,✨,6.0,1.0,"[157,143]","[""ดวง"",""แวววาว""]"
92,💍,6.0,1.0,[143],"[""แวววาว""]"
93,🎒,6.0,1.0,[145],"[""โรงเรียน""]"
94,📽️,7.0,1.0,[147],"[""วิดีโอ""]"
95,❤️,1.1,1.0,[151],"[""ใจ""]"
96,📗,6.0,1.0,[155],"[""หนังสือ""]"
97,🥗,9.0,3.0,[156],"[""อาหาร""]"
98,🌌,6.0,1.0,[157],"[""ดวง""]"
