id,text,diacritic,usage_count
1,ก,False,2825
2,ข,False,772
3,ค,False,805
4,ง,False,1861
5,จ,False,956
6,ด,False,1351
7,บ,False,969
8,น,False,2960
9,ป,False,758
10,ฝ,False,21
11,ฟ,False,57
12,ม,False,2373
13,◌า,False,2492
14,ย,False,477
15,◌ี,False,1414
16,◌ู,False,668
17,ห,False,832
18,ว,False,1813
19,แ◌,False,460
20,พ,False,374
21,ล,False,1731
22,◌ิ,False,328
23,ร,False,1211
24,ท,False,1039
25,ธ,False,392
26,ผ,False,50
27,◌อ,False,1116
28,ส,False,680
29,่,True,1476
30,◌ั,False,2291
31,ศ,False,18
32,ไ◌,False,1752
33,ฉ,False,474
34,ณ,False,200
35,◌ุ,False,349
36,ต,False,486
37,เ◌,False,80
38,ฆ,False,9
39,ใ◌,False,368
40,ช,False,81
41,ะ,False,904
42,อ,False,801
43,เ◌า,False,411
44,แ◌ะ,False,422
45,เ◌อ,False,454
46,◌ือ,False,235
47,◌ั◌,False,0
48, ำ,True,0
49,เ◌ิ,False,75
50,เ◌ย,False,160
51,แ◌◌,False,5
52,เ◌ือ,False,91
53,เ◌ีย,False,195
54,◌ว,False,88
55,ถ,False,229
56,◌ึ,False,206
57,โ◌,False,146
58,◌ื,False,25
59,◌ัว,False,0
60,อะ,False,0
61,เ,False,154
62,า,False,316
63,ํ,False,210
64,โ,False,16
65,ี,False,97
66,ใ◌◌,False,42
67,เ◌◌,False,17
68,◌็,True,19
69,้,True,791
70, ๊,True,0
71, ๋,True,0
72, ็,True,422
