id,value,symbol,word_ids,word_texts
1,2,๒,[33],"[""สอง""]"
2,3,๓,[42],"[""สาม""]"
3,6,๖,[43],"[""หก""]"
4,10,๑๐,[88],"[""สิบ""]"
5,8,๘,[96],"[""แปด""]"
6,12,๑๒,"[88,33]","[""สิบ"",""สอง""]"
7,13,๑๓,"[88,42]","[""สิบ"",""สาม""]"
8,16,๑๖,"[88,43]","[""สิบ"",""หก""]"
9,18,๑๘,"[88,96]","[""สิบ"",""แปด""]"
10,30,๓๐,"[42,88]","[""สาม"",""สิบ""]"
11,60,๖๐,"[43,88]","[""หก"",""สิบ""]"
12,80,๘๐,"[96,88]","[""แปด"",""สิบ""]"
13,32,๓๒,"[42,88,33]","[""สาม"",""สิบ"",""สอง""]"
14,33,๓๓,"[42,88,42]","[""สาม"",""สิบ"",""สาม""]"
15,36,๓๖,"[42,88,43]","[""สาม"",""สิบ"",""หก""]"
16,38,๓๘,"[42,88,96]","[""สาม"",""สิบ"",""แปด""]"
17,62,๖๒,"[43,88,33]","[""หก"",""สิบ"",""สอง""]"
18,63,๖๓,"[43,88,42]","[""หก"",""สิบ"",""สาม""]"
19,66,๖๖,"[43,88,43]","[""หก"",""สิบ"",""หก""]"
20,68,๖๘,"[43,88,96]","[""หก"",""สิบ"",""แปด""]"
21,1000,๑๐๐๐,[112],"[""พัน""]"
22,1,๑,[195],"[""หนึ่ง""]"
23,4,๔,[211],"[""สี่""]"
24,5,๕,[212],"[""ห้า""]"
25,7,๗,[213],"[""เจ็ด""]"
