id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
1,งาน,"[{""sounds"":[""ŋ""],""id"":4,""letters"":[""ง""],""usageCount"":227},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395}]",18,NOUN,,,
2,ปาย,"[{""sounds"":[""p""],""id"":8,""letters"":[""ป""],""usageCount"":90},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""y""],""id"":14,""letters"":[""ย""],""usageCount"":45}]",0,VERB,,,
3,กบ,"[{""sounds"":[""k"",""ɔ""],""id"":15,""letters"":[""ก""],""usageCount"":0},{""sounds"":[""b""],""id"":1,""letters"":[""บ""],""usageCount"":0}]",0,NOUN,,,
4,มีด,"[{""sounds"":[""m""],""id"":12,""letters"":[""ม""],""usageCount"":237},{""sounds"":[""iː""],""id"":16,""letters"":[""◌ี""],""usageCount"":70},{""sounds"":[""d""],""id"":5,""letters"":[""ด""],""usageCount"":46}]",0,NOUN,,,
5,ปากกา,"[{""sounds"":[""p""],""id"":8,""letters"":[""ป""],""usageCount"":90},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""k""],""id"":3,""letters"":[""ก""],""usageCount"":250},{""sounds"":[""k""],""id"":3,""letters"":[""ก""],""usageCount"":250},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315}]",0,NOUN,,,
6,มี,"[{""sounds"":[""m""],""id"":12,""letters"":[""ม""],""usageCount"":237},{""sounds"":[""iː""],""id"":16,""letters"":[""◌ี""],""usageCount"":70}]",43,VERB,,,
7,ดู,"[{""sounds"":[""d""],""id"":5,""letters"":[""ด""],""usageCount"":46},{""sounds"":[""uː""],""id"":17,""letters"":[""◌ู""],""usageCount"":56}]",21,VERB,,,
8,หวาน,"[{""sounds"":[""h""],""id"":19,""letters"":[""ห""],""usageCount"":10},{""sounds"":[""w""],""id"":18,""letters"":[""ว""],""usageCount"":94},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395}]",3,ADJECTIVE,,,
9,แพง,"[{""sounds"":[""pʰ""],""id"":21,""letters"":[""พ""],""usageCount"":17},{""sounds"":[""ɛː""],""id"":20,""letters"":[""แ◌""],""usageCount"":1},{""sounds"":[""ŋ""],""id"":4,""letters"":[""ง""],""usageCount"":227}]",1,ADJECTIVE,,,
10,ลิง,"[{""sounds"":[""l""],""id"":22,""letters"":[""ล""],""usageCount"":133},{""sounds"":[""i""],""id"":23,""letters"":[""◌ิ""],""usageCount"":22},{""sounds"":[""ŋ""],""id"":4,""letters"":[""ง""],""usageCount"":227}]",1,NOUN,,,
11,จาน,"[{""sounds"":[""tɕ""],""id"":24,""letters"":[""จ""],""usageCount"":109},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395}]",0,NOUN,,,
12,ควาย,"[{""sounds"":[""kʰ""],""id"":25,""letters"":[""ค""],""usageCount"":32},{""sounds"":[""w""],""id"":18,""letters"":[""ว""],""usageCount"":94},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""y""],""id"":14,""letters"":[""ย""],""usageCount"":45}]",0,NOUN,,,
13,ปลา,"[{""sounds"":[""p""],""id"":8,""letters"":[""ป""],""usageCount"":90},{""sounds"":[""l""],""id"":22,""letters"":[""ล""],""usageCount"":133},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315}]",0,NOUN,,,
