id,glyph,unicode_version,unicode_emoji_version,word_ids,word_texts
1,🏠,6.0,1.0,[2],"[""nhà""]"
2,💗,6.0,1.0,[3],"[""cho""]"
3,👶,6.0,1.0,[4],"[""con""]"
4,🐈,6.0,1.0,[9],"[""miu""]"
5,🐱,6.0,1.0,[9],"[""miu""]"
6,⭐,5.1,1.0,[10],"[""sao""]"
7,✈️,1.1,1.0,[12],"[""bay""]"
8,🍏,6.0,1.0,[13],"[""xanh""]"
9,🤰,9.0,3.0,[22],"[""mẹ""]"
10,🐟,6.0,1.0,[52],"[""cá""]"
11,🍴,6.0,1.0,[55],"[""ăn""]"
12,🍽️,7.0,1.0,[55],"[""ăn""]"
13,🌲,6.0,1.0,[67],"[""cây""]"
14,🥖,9.0,3.0,[69],"[""bánh""]"
15,👀,6.0,1.0,[72],"[""nhìn""]"
16,🐕,6.0,1.0,[73],"[""cún""]"
17,🍭,6.0,1.0,[74],"[""màu""]"
18,🐔,6.0,1.0,[75],"[""gà""]"
19,🐢,6.0,1.0,[80],"[""rùa""]"
20,🎲,6.0,1.0,[82],"[""chơi""]"
21,👵,6.0,1.0,[83],"[""bà""]"
22,👩,6.0,1.0,[84],"[""cô""]"
23,👜,6.0,1.0,[85],"[""bị""]"
24,🕰️,7.0,1.0,[86],"[""giờ""]"
25,👨,6.0,1.0,"[114,87]","[""bố"",""người""]"
26,🐇,6.0,1.0,[94],"[""thỏ""]"
27,📖,6.0,1.0,[98],"[""sách""]"
28,😀,6.1,1.0,"[120,102]","[""vui"",""mặt""]"
29,👣,6.0,1.0,[103],"[""chân""]"
30,🌊,6.0,1.0,[107],"[""nước""]"
31,😴,6.1,1.0,[123],"[""ngủ""]"
32,👧,6.0,1.0,[124],"[""chị""]"
33,🏃,6.0,1.0,[125],"[""chạy""]"
34,😄,6.0,1.0,[126],"[""cười""]"
35,🚜,6.0,1.0,[128],"[""đất""]"
36,🗣️,7.0,1.0,[129],"[""đầu""]"
