id,letter_ids,letter_texts,sound_ids,sound_values_ipa,usage_count
1,[1],"[""a""]",[1],"[""a""]",2942
2,"[16,11]","[""n"",""h""]",[3],"[""ɲ""]",552
3,[31],"[""à""]",[1],"[""a""]",217
4,"[5,11]","[""c"",""h""]",[4],"[""tɕ""]",468
5,[17],"[""o""]",[5],"[""ɔː""]",625
6,[5],"[""c""]",[6],"[""k""]",1596
7,[16],"[""n""]",[7],"[""n""]",957
8,[22],"[""r""]",[8],"[""z""]",349
9,"[13,11]","[""k"",""h""]",[9],"[""x""]",418
10,[12],"[""i""]",[10],"[""i""]",881
11,[24],"[""t""]",[11],"[""t""]",836
12,[12],"[""i""]",[12],"[""j""]",622
13,[11],"[""h""]",[13],"[""h""]",89
14,[4],"[""b""]",[14],"[""b""]",0
15,[4],"[""b""]",[2],"[""ɓ""]",349
16,[25],"[""u""]",[15],"[""w""]",75
17,[15],"[""m""]",[16],"[""m""]",1076
18,[17],"[""o""]",[15],"[""w""]",77
19,[23],"[""s""]",[17],"[""s""]",239
20,[8],"[""e""]",[18],"[""ɛ""]",367
21,[29],"[""y""]",[12],"[""j""]",338
22,[28],"[""x""]",[17],"[""s""]",74
23,[27],"[""v""]",[19],"[""v""]",484
24,[33],"[""◌̀""]",[20],"[""∅""]",1628
25,[35],"[""◌̃""]",[20],"[""∅""]",524
26,[18],"[""ô""]",[21],"[""o""]",1064
27,[14],"[""l""]",[22],"[""l""]",731
28,[17],"[""o""]",[23],"[""ɔ""]",501
29,[32],"[""◌́""]",[20],"[""∅""]",1252
30,[25],"[""u""]",[24],"[""u""]",920
31,[34],"[""◌̉""]",[20],"[""∅""]",606
32,[7],"[""đ""]",[25],"[""ɗ""]",677
33,[36],"[""◌̣""]",[20],"[""∅""]",986
34,[19],"[""ơ""]",[26],"[""ə""]",295
35,"[16,11]","[""n"",""h""]",[27],"[""ŋ""]",189
36,"[16,10]","[""n"",""g""]",[27],"[""ŋ""]",1243
37,[17],"[""o""]",[21],"[""o""]",0
38,"[24,11]","[""t"",""h""]",[28],"[""tʰ""]",121
39,"[24,22]","[""t"",""r""]",[4],"[""tɕ""]",124
40,[2],"[""ă""]",[30],"[""ă""]",139
41,[37],"[""◌̆""]",[20],"[""∅""]",0
42,[26],"[""ư""]",[31],"[""ɯ""]",363
43,[3],"[""â""]",[32],"[""ɤ̆""]",221
44,[9],"[""ê""]",[33],"[""e""]",114
45,"[20,11]","[""p"",""h""]",[34],"[""f""]",119
