id,text,diacritic,usage_count
1,a,False,3964
2,ă,False,272
3,â,False,903
4,b,False,752
5,c,False,3502
6,d,False,0
7,đ,False,1073
8,e,False,590
9,ê,False,212
10,g,False,1765
11,h,False,3396
12,i,False,2953
13,k,False,487
14,l,False,871
15,m,False,1559
16,n,False,4681
17,o,False,1823
18,ô,False,1283
19,ơ,False,1269
20,p,False,126
21,q,False,54
22,r,False,709
23,s,False,364
24,t,False,2035
25,u,False,1753
26,ư,False,973
27,v,False,868
28,x,False,74
29,y,False,723
30,á,True,0
31,à,False,626
32,◌́,True,2609
33,◌̀,True,2672
34,◌̉,True,972
35,◌̃,True,680
36,◌̣,True,1566
37,◌̆,True,0
