id,value,symbol,word_ids,word_texts
1,3,,[1],"[""ba""]"
2,2,,[8],"[""hai""]"
3,1,,[36],"[""một""]"
4,5,,[38],"[""năm""]"
5,6,,[40],"[""sáu""]"
6,7,,[43],"[""bảy""]"
7,8,,[46],"[""tám""]"
8,9,,[48],"[""chín""]"
9,10,,[50],"[""mười""]"
10,11,,"[50,36]","[""mười"",""một""]"
11,12,,"[50,8]","[""mười"",""hai""]"
12,13,,"[50,1]","[""mười"",""ba""]"
13,15,,"[50,32]","[""mười"",""làm""]"
14,16,,"[50,40]","[""mười"",""sáu""]"
15,17,,"[50,43]","[""mười"",""bảy""]"
16,18,,"[50,46]","[""mười"",""tám""]"
17,19,,"[50,48]","[""mười"",""chín""]"
18,20,,"[8,50]","[""hai"",""mười""]"
19,21,,"[8,50,36]","[""hai"",""mười"",""một""]"
20,22,,"[8,50,8]","[""hai"",""mười"",""hai""]"
21,23,,"[8,50,1]","[""hai"",""mười"",""ba""]"
22,26,,"[8,50,40]","[""hai"",""mười"",""sáu""]"
23,27,,"[8,50,43]","[""hai"",""mười"",""bảy""]"
24,28,,"[8,50,46]","[""hai"",""mười"",""tám""]"
25,29,,"[8,50,48]","[""hai"",""mười"",""chín""]"
26,30,,"[1,50]","[""ba"",""mười""]"
27,31,,"[1,50,36]","[""ba"",""mười"",""một""]"
28,32,,"[1,50,8]","[""ba"",""mười"",""hai""]"
29,33,,"[1,50,1]","[""ba"",""mười"",""ba""]"
30,36,,"[1,50,40]","[""ba"",""mười"",""sáu""]"
31,37,,"[1,50,43]","[""ba"",""mười"",""bảy""]"
32,38,,"[1,50,46]","[""ba"",""mười"",""tám""]"
33,39,,"[1,50,48]","[""ba"",""mười"",""chín""]"
34,60,,"[40,50]","[""sáu"",""mười""]"
35,61,,"[40,50,36]","[""sáu"",""mười"",""một""]"
