id,value_ipa,value_sampa,diacritic,sound_type,usage_count
1,a,	a,False,VOWEL,4175
2,ɓ,b_<,False,CONSONANT,638
3,ɲ,J,False,CONSONANT,821
4,tɕ,ts\,False,CONSONANT,798
5,ɔː,O:,False,VOWEL,811
6,k,k,False,CONSONANT,2354
7,n,n,False,CONSONANT,1547
8,z,z,False,CONSONANT,476
9,x,x,False,CONSONANT,468
10,i,i,False,VOWEL,1424
11,t,t,False,CONSONANT,1082
12,j,j,False,CONSONANT,1368
13,h,h,False,CONSONANT,134
14,b,b,False,CONSONANT,0
15,w,w,False,CONSONANT,283
16,m,m,False,CONSONANT,1292
17,s,s,False,CONSONANT,423
18,ɛ,E,False,VOWEL,498
19,v,v,False,CONSONANT,683
20,∅,_0,False,,6844
21,o,o,False,VOWEL,1126
22,l,l,False,CONSONANT,731
23,ɔ,O,False,VOWEL,588
24,u,u,False,VOWEL,1202
25,ɗ,d_<,False,CONSONANT,916
26,ə,@,False,VOWEL,861
27,ŋ,N,False,CONSONANT,1575
28,tʰ,t_h,False,CONSONANT,297
29,◌̆,_X,False,,0
30,ă,a_X,False,VOWEL,139
31,ɯ,M,False,VOWEL,752
32,ɤ̆,7_X,False,VOWEL,568
33,e,e,False,VOWEL,200
34,f,f,False,CONSONANT,119
35,ɣ,G,False,CONSONANT,152
