id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
1,ba,"[{""sounds"":[""ɓ""],""id"":15,""letters"":[""b""],""usageCount"":638},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574}]",55,NUMBER,,,
2,nhà,"[{""sounds"":[""ɲ""],""id"":2,""letters"":[""n"",""h""],""usageCount"":821},{""sounds"":[""a""],""id"":3,""letters"":[""à""],""usageCount"":601}]",128,NOUN,,2.0,nhà
3,cho,"[{""sounds"":[""tɕ""],""id"":4,""letters"":[""c"",""h""],""usageCount"":588},{""sounds"":[""ɔː""],""id"":5,""letters"":[""o""],""usageCount"":811}]",131,VERB,,,
4,con,"[{""sounds"":[""k""],""id"":6,""letters"":[""c""],""usageCount"":2245},{""sounds"":[""ɔː""],""id"":5,""letters"":[""o""],""usageCount"":811},{""sounds"":[""n""],""id"":7,""letters"":[""n""],""usageCount"":1547}]",282,NOUN,,,
5,ra,"[{""sounds"":[""z""],""id"":8,""letters"":[""r""],""usageCount"":412},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574}]",159,VERB,,,
6,khi,"[{""sounds"":[""x""],""id"":9,""letters"":[""k"",""h""],""usageCount"":468},{""sounds"":[""i""],""id"":10,""letters"":[""i""],""usageCount"":1424}]",88,ADVERB,,,
7,ta,"[{""sounds"":[""t""],""id"":11,""letters"":[""t""],""usageCount"":1082},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574}]",92,,,,
8,hai,"[{""sounds"":[""h""],""id"":13,""letters"":[""h""],""usageCount"":134},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574},{""sounds"":[""j""],""id"":12,""letters"":[""i""],""usageCount"":862}]",89,NUMBER,,,
9,miu,"[{""sounds"":[""m""],""id"":17,""letters"":[""m""],""usageCount"":1292},{""sounds"":[""i""],""id"":10,""letters"":[""i""],""usageCount"":1424},{""sounds"":[""w""],""id"":16,""letters"":[""u""],""usageCount"":205}]",75,NOUN,,,
10,sao,"[{""sounds"":[""s""],""id"":19,""letters"":[""s""],""usageCount"":349},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574},{""sounds"":[""w""],""id"":18,""letters"":[""o""],""usageCount"":78}]",78,NOUN,,,
11,em,"[{""sounds"":[""ɛ""],""id"":20,""letters"":[""e""],""usageCount"":498},{""sounds"":[""m""],""id"":17,""letters"":[""m""],""usageCount"":1292}]",72,PRONOUN,,,
